rp(A),fof_Na,fof_Cl,(fof_Na+fof_Cl)/2,fof_Ow
0,1,1,1,1
0.1,1,1,1,1
0.2,1,1,1,1
0.3,1,1,1,1
0.4,1,1,1,1
0.5,1,1,1,1
0.6,1,1,1,1
0.7,1,1,1,1
0.8,1,1,1,1
0.9,1,1,1,1
1,1,1,1,1
1.1,1,1,1,1
1.2,1,1,1,1
1.3,1,1,1,1
1.4,1,1,1,1
1.5,1,1,1,1
1.6,1,1,1,1
1.7,1,1,1,1
1.8,1,1,1,1
1.9,1,1,1,1
2,1,1,1,1
2.1,1,1,1,1
2.2,1,1,1,1
2.3,1,1,1,1
2.4,1,1,1,1
2.5,1,1,1,1
2.6,1,1,1,1
2.7,1,1,1,1
2.8,1,1,1,1
2.9,1,1,1,1
3,1,1,1,1
3.1,1,1,1,1
3.2,1,1,1,1
3.3,1,1,1,1
3.4,1,1,1,1
3.5,1,1,1,1
3.6,1,1,1,1
3.7,1,1,1,1
3.8,1,1,1,1
3.9,1,1,1,1
4,1,1,1,1
4.1,1,1,1,1
4.2,1,1,1,1
4.3,1,1,1,1
4.4,1,1,1,1
4.5,1,1,1,1
4.6,1,1,1,1
4.7,1,1,1,1
4.8,1,1,1,1
4.9,1,1,1,1
5,1,1,1,1
5.1,1,1,1,1
5.2,1,1,1,1
5.3,1,1,1,1
5.4,1,1,1,1
5.5,1,1,1,1
5.6,1,1,1,1
5.7,1,1,1,1
5.8,1,1,1,1
5.9,1,1,1,1
6,1,1,1,1
6.1,1,1,1,1
6.2,1,1,1,1
6.3,1,1,1,1
6.4,1,1,1,1
6.5,1,1,1,1
6.6,1,1,1,1
6.7,1,1,1,1
6.8,1,1,1,1
6.9,1,1,1,1
7,1,1,1,1
7.1,1,1,1,1
7.2,1,1,1,1
7.3,1,1,1,1
7.4,1,1,1,1
7.5,1,1,1,1
7.6,1,1,1,1
7.7,1,1,1,1
7.8,1,1,1,0.999
7.9,1,1,1,1
8,1,1,1,1
8.1,1,1,1,1
8.2,1,1,1,1
8.3,1,1,1,1
8.4,1,1,1,1
8.5,1,1,1,0.999
8.6,1,1,1,1
8.7,1,1,1,0.998
8.8,1,1,1,0.999
8.9,1,1,1,0.999
9,1,1,1,0.995
9.1,1,1,1,0.989
9.2,1,1,1,0.989
9.3,1,1,1,0.984
9.4,1,1,1,0.977
9.5,0.989,0.989,0.989,0.97
9.6,0.968,0.978,0.973,0.953
9.7,0.968,0.968,0.968,0.938
9.8,0.968,0.957,0.962,0.924
9.9,0.957,0.957,0.957,0.914
10,0.957,0.968,0.962,0.907
10.1,0.946,0.946,0.946,0.902
10.2,0.946,0.946,0.946,0.898
10.3,0.946,0.946,0.946,0.895
10.4,0.946,0.946,0.946,0.887
10.5,0.946,0.946,0.946,0.881
10.6,0.946,0.946,0.946,0.879
10.7,0.946,0.946,0.946,0.872
10.8,0.935,0.946,0.941,0.867
10.9,0.935,0.935,0.935,0.859
11,0.924,0.935,0.93,0.855
11.1,0.924,0.935,0.93,0.855
11.2,0.924,0.935,0.93,0.849
11.3,0.924,0.935,0.93,0.844
11.4,0.924,0.935,0.93,0.841
11.5,0.924,0.935,0.93,0.839
11.6,0.924,0.935,0.93,0.836
11.7,0.924,0.935,0.93,0.831
