rp(A),fof_Na,fof_Cl,(fof_Na+fof_Cl)/2,fof_Ow
11.8,0.924,0.924,0.924,0.824
11.9,0.924,0.935,0.93,0.822
12,0.924,0.924,0.924,0.818
12.1,0.924,0.924,0.924,0.812
12.2,0.914,0.914,0.914,0.802
12.3,0.903,0.903,0.903,0.8
12.4,0.903,0.914,0.908,0.799
12.5,0.903,0.914,0.908,0.796
12.6,0.903,0.914,0.908,0.793
12.7,0.903,0.914,0.908,0.79
12.8,0.903,0.914,0.908,0.786
12.9,0.903,0.914,0.908,0.781
13,0.903,0.903,0.903,0.778
13.1,0.903,0.903,0.903,0.773
13.2,0.892,0.892,0.892,0.767
13.3,0.892,0.892,0.892,0.767
13.4,0.892,0.892,0.892,0.764
13.5,0.892,0.892,0.892,0.758
13.6,0.892,0.892,0.892,0.756
13.7,0.881,0.881,0.881,0.75
13.8,0.881,0.881,0.881,0.749
13.9,0.881,0.892,0.886,0.744
14,0.881,0.892,0.886,0.742
14.1,0.881,0.892,0.886,0.742
14.2,0.881,0.892,0.886,0.733
14.3,0.881,0.892,0.886,0.73
14.4,0.881,0.892,0.886,0.726
14.5,0.881,0.892,0.886,0.719
14.6,0.881,0.892,0.886,0.715
14.7,0.881,0.881,0.881,0.711
14.8,0.881,0.881,0.881,0.71
14.9,0.881,0.892,0.886,0.708
15,0.87,0.881,0.876,0.701
15.1,0.87,0.881,0.876,0.696
15.2,0.87,0.881,0.876,0.693
15.3,0.87,0.881,0.876,0.687
15.4,0.881,0.881,0.881,0.686
15.5,0.881,0.881,0.881,0.678
15.6,0.881,0.881,0.881,0.681
15.7,0.881,0.881,0.881,0.671
15.8,0.881,0.881,0.881,0.669
15.9,0.881,0.87,0.876,0.663
16,0.881,0.881,0.881,0.663
16.1,0.881,0.881,0.881,0.659
16.2,0.87,0.881,0.876,0.659
16.3,0.87,0.881,0.876,0.655
16.4,0.87,0.881,0.876,0.651
16.5,0.87,0.87,0.87,0.645
16.6,0.87,0.87,0.87,0.64
16.7,0.859,0.87,0.865,0.638
16.8,0.859,0.859,0.859,0.634
16.9,0.849,0.859,0.854,0.633
17,0.849,0.859,0.854,0.626
17.1,0.849,0.859,0.854,0.625
17.2,0.849,0.859,0.854,0.619
17.3,0.849,0.859,0.854,0.616
17.4,0.849,0.849,0.849,0.609
17.5,0.849,0.838,0.843,0.607
17.6,0.849,0.838,0.843,0.599
17.7,0.838,0.838,0.838,0.591
17.8,0.838,0.849,0.843,0.591
17.9,0.827,0.838,0.832,0.581
18,0.838,0.838,0.838,0.58
18.1,0.838,0.838,0.838,0.571
18.2,0.838,0.838,0.838,0.571
18.3,0.838,0.838,0.838,0.568
18.4,0.838,0.838,0.838,0.568
18.5,0.838,0.838,0.838,0.567
18.6,0.838,0.838,0.838,0.562
18.7,0.838,0.838,0.838,0.555
18.8,0.838,0.838,0.838,0.554
18.9,0.838,0.838,0.838,0.555
